COMMAND     PID USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd    647  bcb    4u  IPv4 0xe6f9f4ee760c7517      0t0  TCP *:49684 (LISTEN)
rapportd    647  bcb   15u  IPv6 0x87b17ec5a9b2e2eb      0t0  TCP *:49684 (LISTEN)
LM\x20Stu   708  bcb   67u  IPv4 0x24b99f4fac3fc621      0t0  TCP 127.0.0.1:41343 (LISTEN)
LM\x20Stu   708  bcb   70u  IPv4 0xedd06a492ec81a3b      0t0  TCP *:1234 (LISTEN)
ControlCe   725  bcb    9u  IPv4 0xfd2cab41b6d56897      0t0  TCP *:7000 (LISTEN)
ControlCe   725  bcb   10u  IPv6 0xba2bb2be4fdbed53      0t0  TCP *:7000 (LISTEN)
ControlCe   725  bcb   11u  IPv4 0xf55ef03937bc5b5b      0t0  TCP *:5000 (LISTEN)
ControlCe   725  bcb   12u  IPv6 0x440abc50bdf967cc      0t0  TCP *:5000 (LISTEN)
mediashar   915  bcb    6u  IPv4 0xb5d36eb4880cd44b      0t0  TCP *:3689 (LISTEN)
mediashar   915  bcb    7u  IPv6 0x489957d4df23c0b1      0t0  TCP *:3689 (LISTEN)
duet       6704  bcb   61u  IPv4 0x9b2d3e2889d81187      0t0  TCP *:39393 (LISTEN)
duet       6704  bcb   62u  IPv4 0xf3bf76693bdbd371      0t0  TCP *:38383 (LISTEN)
duet       6704  bcb   64u  IPv6 0xe3f1532bf441b6b0      0t0  TCP *:39393 (LISTEN)
Code\x20H 97637  bcb   41u  IPv4 0x60fc8d3f936340dc      0t0  TCP 127.0.0.1:52255 (LISTEN)
Code\x20H 97637  bcb  146u  IPv6 0x3bd25b99b4652017      0t0  TCP *:8008 (LISTEN)
