  PID  PPID USER                 ELAPSED COMM
    1     0 root             06-03:38:47 /sbin/launchd
  326     1 root             06-03:38:33 /usr/libexec/logd
  327     1 root             06-03:38:33 /usr/libexec/smd
  328     1 root             06-03:38:33 /usr/libexec/UserEventAgent
  330     1 root             06-03:38:33 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  331     1 root             06-03:38:33 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  334     1 root             06-03:38:33 /usr/sbin/systemstats
  336     1 _accessoryupdater 06-03:38:33 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  337     1 _accessoryupdater 06-03:38:33 /usr/libexec/uarpassetmanagerd
  338     1 root             06-03:38:33 /usr/libexec/configd
  339     1 root             06-03:38:33 endpointsecurityd
  340     1 root             06-03:38:33 /System/Library/CoreServices/powerd.bundle/powerd
  341     1 root             06-03:38:33 /usr/libexec/IOMFB_bics_daemon
  343     1 root             06-03:38:33 /usr/libexec/amfid
  345     1 root             06-03:38:33 /usr/libexec/remoted
  347     1 root             06-03:38:33 /usr/libexec/keybagd
  348     1 _softwareupdate  06-03:38:33 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  349     1 _corespeechd     06-03:38:33 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  351     1 root             06-03:38:33 /usr/libexec/watchdogd
  355     1 root             06-03:38:33 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  356     1 _iconservices    06-03:38:33 /System/Library/CoreServices/iconservicesd
  357     1 root             06-03:38:33 /usr/libexec/kernelmanagerd
  358     1 root             06-03:38:33 /usr/libexec/diskarbitrationd
  361     1 root             06-03:38:33 /usr/libexec/coreduetd
  362     1 root             06-03:38:33 /usr/sbin/syslogd
  364     1 root             06-03:38:33 /usr/libexec/thermalmonitord
  365     1 root             06-03:38:33 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  366     1 root             06-03:38:33 /usr/libexec/xprotectd
  367     1 root             06-03:38:33 /usr/libexec/opendirectoryd
  368     1 root             06-03:38:33 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  369     1 root             06-03:38:33 /System/Library/CoreServices/launchservicesd
  370     1 _timed           06-03:38:33 /usr/libexec/timed
  371     1 _usbmuxd         06-03:38:33 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  372     1 root             06-03:38:33 /usr/sbin/securityd
  374     1 _locationd       06-03:38:33 /usr/libexec/locationd
  375     1 root             06-03:38:33 /usr/libexec/nesessionmanager
  377     1 root             06-03:38:33 autofsd
  378     1 root             06-03:38:33 /usr/libexec/dasd
