      "reasoning_tokens": 1024
[2026-09-02 09:43:53][DEBUG] 3.37.896.995 I slot print_timing: id  3 | task 353 | n_gen =    100, tg =   7.96 t/s, tg_3s =   8.04 t/s
[2026-09-02 09:43:57][DEBUG] 3.41.034.299 I slot print_timing: id  3 | task 353 | n_gen =    129, tg =   8.22 t/s, tg_3s =   9.24 t/s
[2026-09-02 09:44:00][DEBUG] 3.44.121.356 I slot print_timing: id  3 | task 353 | n_gen =    164, tg =   8.74 t/s, tg_3s =  11.34 t/s
[2026-09-02 09:44:03][DEBUG] 3.47.198.417 I slot print_timing: id  3 | task 353 | n_gen =    192, tg =   8.79 t/s, tg_3s =   9.10 t/s
[2026-09-02 09:44:06][DEBUG] 3.50.361.539 I slot print_timing: id  3 | task 353 | n_gen =    213, tg =   8.51 t/s, tg_3s =   6.64 t/s
[2026-09-02 09:44:09][DEBUG] 3.53.712.667 I slot print_timing: id  3 | task 353 | n_gen =    241, tg =   8.50 t/s, tg_3s =   8.36 t/s
[2026-09-02 09:44:12][DEBUG] 3.56.750.037 I slot print_timing: id  3 | task 353 | n_gen =    270, tg =   8.60 t/s, tg_3s =   9.55 t/s
[2026-09-02 09:44:15][DEBUG] 3.59.882.556 I slot print_timing: id  3 | task 353 | n_gen =    293, tg =   8.48 t/s, tg_3s =   7.34 t/s
[2026-09-02 09:44:19][DEBUG] 4.03.126.077 I slot print_timing: id  3 | task 353 | n_gen =    318, tg =   8.42 t/s, tg_3s =   7.71 t/s
[2026-09-02 09:44:22][DEBUG] 4.06.469.534 I slot print_timing: id  3 | task 353 | n_gen =    333, tg =   8.10 t/s, tg_3s =   4.49 t/s
[2026-09-02 09:44:25][DEBUG] 4.09.567.080 I slot print_timing: id  3 | task 353 | n_gen =    350, tg =   7.91 t/s, tg_3s =   5.49 t/s
[2026-09-02 09:44:29][DEBUG] 4.12.936.474 I slot print_timing: id  3 | task 353 | n_gen =    376, tg =   7.90 t/s, tg_3s =   7.72 t/s
[2026-09-02 09:44:32][DEBUG] 4.16.038.794 I slot print_timing: id  3 | task 353 | n_gen =    397, tg =   7.83 t/s, tg_3s =   6.77 t/s
[2026-09-02 09:44:35][DEBUG] 4.19.340.932 I slot print_timing: id  3 | task 353 | n_gen =    424, tg =   7.85 t/s, tg_3s =   8.18 t/s
[2026-09-02 09:44:38][DEBUG] 4.22.634.664 I slot print_timing: id  3 | task 353 | n_gen =    449, tg =   7.84 t/s, tg_3s =   7.59 t/s
[2026-09-02 09:44:41][DEBUG] 4.25.775.500 I slot print_timing: id  3 | task 353 | n_gen =    476, tg =   7.88 t/s, tg_3s =   8.60 t/s
