bcb
  PID  PPID COMM
    1     0 /sbin/launchd
  326     1 /usr/libexec/logd
  328     1 /usr/libexec/UserEventAgent
  330     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  331     1 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  334     1 /usr/sbin/systemstats
  338     1 /usr/libexec/configd
  340     1 /System/Library/CoreServices/powerd.bundle/powerd
  341     1 /usr/libexec/IOMFB_bics_daemon
  345     1 /usr/libexec/remoted
  349     1 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  351     1 /usr/libexec/watchdogd
  355     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  357     1 /usr/libexec/kernelmanagerd
  358     1 /usr/libexec/diskarbitrationd
  361     1 /usr/libexec/coreduetd
  362     1 /usr/sbin/syslogd
  364     1 /usr/libexec/thermalmonitord
  365     1 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  366     1 /usr/libexec/xprotectd
  367     1 /usr/libexec/opendirectoryd
  368     1 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  369     1 /System/Library/CoreServices/launchservicesd
  370     1 /usr/libexec/timed
  371     1 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  372     1 /usr/sbin/securityd
  374     1 /usr/libexec/locationd
  377     1 autofsd
  378     1 /usr/libexec/dasd
  379     1 /usr/libexec/corerepaird
  381     1 /usr/sbin/distnoted
  385     1 /System/Library/CoreServices/logind
  386     1 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  387     1 /usr/sbin/KernelEventAgent
  389     1 /usr/libexec/usermanagerd
  391     1 /usr/sbin/bluetoothd
  392     1 /usr/sbin/notifyd
  394     1 /usr/libexec/corebrightnessd
  395     1 /usr/libexec/AirPlayXPCHelper
  396     1 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  399     1 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  400     1 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  401     1 /usr/sbin/cfprefsd
  402     1 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  403     1 /System/Library/CoreServices/coreservicesd
  405     1 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  408     1 /usr/libexec/runningboardd
  409     1 /usr/libexec/lsd
  413     1 /usr/sbin/coreaudiod
  415     1 /usr/libexec/apfsd
  418     1 /usr/libexec/nsurlsessiond
  421     1 /usr/libexec/biometrickitd
  423     1 /usr/libexec/mobileassetd
  430     1 /usr/libexec/ApplicationFirewall/socketfilterfw
  436     1 /usr/libexec/eligibilityd
  444     1 /usr/sbin/distnoted
  463     1 /usr/sbin/distnoted
  467     1 /usr/libexec/symptomsd
  480     1 /usr/sbin/distnoted
  501     1 /usr/libexec/airportd
  504     1 /usr/sbin/distnoted
  506     1 /usr/sbin/mDNSResponder
  508     1 /System/Library/CoreServices/TimeMachine/backupd
  509     1 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  510     1 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  511     1 /usr/libexec/syspolicyd
  513     1 /usr/sbin/WirelessRadioManagerd
  515     1 Core Audio Driver (JumpAudio.driver)
  516     1 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  518     1 /usr/sbin/mDNSResponderHelper
  519     1 /usr/libexec/audiomxd
  520     1 /usr/libexec/cameracaptured
  521     1 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  532     1 /usr/sbin/distnoted
  534     1 /usr/libexec/audioclocksyncd
  535     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  536     1 Core Audio Driver (JumpAudioMic.driver)
  538     1 /Applications/LogiTune.app/Contents/Frameworks/LogiTuneUpdater.app/Contents/MacOS/LogiTuneUpdater
  540     1 /Applications/Jump Desktop Connect.app/Contents/MacOS/JumpConnect
  541     1 /Applications/LogiTune.app/Contents/Frameworks/LogiRightSight.app/Contents/MacOS/LogiRightSight
  542     1 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  545     1 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  547     1 /usr/sbin/distnoted
  548     1 /usr/libexec/modelmanagerd
  549     1 Core Audio Driver (ParrotAudioPlugin.driver)
  553     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  566     1 /usr/sbin/distnoted
  579     1 /System/Library/CoreServices/appleeventsd
  583     1 /usr/libexec/searchpartyd
  584     1 /usr/sbin/distnoted
  596     1 /usr/sbin/distnoted
  597     1 /System/Library/DriverExtensions/AppleCentauriAlpha.dext/AppleCentauriAlpha
  598     1 /System/Library/DriverExtensions/AppleCentauriControl.dext/AppleCentauriControl
  599     1 /System/Library/DriverExtensions/AppleCentauriBeta.dext/AppleCentauriBeta
  612     1 /usr/libexec/diagnosticd
  613     1 /usr/sbin/distnoted
  614     1 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  615     1 /usr/sbin/distnoted
  616     1 /usr/sbin/cfprefsd
  619     1 /usr/libexec/secd
  621     1 /usr/libexec/UserEventAgent
  623     1 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  625     1 /usr/libexec/ContinuityCaptureAgent
  632     1 /usr/sbin/universalaccessd
  634     1 /usr/libexec/pboard
  635     1 /usr/libexec/containermanagerd
  636     1 /usr/libexec/lsd
  637     1 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  639     1 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/AXVisualSupportAgent.app/Contents/MacOS/AXVisualSupportAgent
  645     1 /usr/libexec/nsurlsessiond
  647     1 /usr/libexec/rapportd
  648     1 /usr/sbin/usernoted
  649     1 /usr/libexec/routined
  650     1 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  651     1 /usr/sbin/distnoted
  652     1 /usr/libexec/secinitd
  657     1 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  658     1 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  660     1 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  661     1 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  662     1 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  664     1 /System/Library/CoreServices/sharedfilelistd
  665     1 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  666     1 /System/Applications/Messages.app/Contents/MacOS/Messages
  669     1 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  670     1 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  672     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  676     1 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  677     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  679     1 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  681     1 /usr/libexec/sharingd
  686     1 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  690     1 /usr/libexec/networkserviceproxy
  691     1 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  702     1 /usr/libexec/nearbyd
  703     1 /System/Applications/Notes.app/Contents/MacOS/Notes
  704     1 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari
  706     1 /Applications/Gemini.app/Contents/MacOS/Gemini
  707     1 /System/Applications/TextEdit.app/Contents/MacOS/TextEdit
  709     1 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  710     1 /Applications/Brave Browser.app/Contents/MacOS/Brave Browser
  712     1 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  714     1 /System/Applications/Contacts.app/Contents/MacOS/Contacts
  715     1 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  716     1 /System/Applications/Mail.app/Contents/MacOS/Mail
  717     1 /System/Applications/Preview.app/Contents/MacOS/Preview
  719     1 /System/Applications/Passwords.app/Contents/MacOS/Passwords
  723     1 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  724     1 /usr/sbin/distnoted
  725     1 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  726     1 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  727     1 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
